dive,time_UTC,dateTime_UTC,latitude,longitude,label
129,739535.436851852,10-Oct-2024 10:29:04,42.17145,-125.545966666667,start
129,739535.63962963,10-Oct-2024 15:21:04,42.1638166666667,-125.532883333333,stop
130,739535.645428241,10-Oct-2024 15:29:25,42.1654833333333,-125.534116666667,start
130,739535.846608796,10-Oct-2024 20:19:07,42.1567,-125.5217,stop
131,739535.852106481,10-Oct-2024 20:27:02,42.15845,-125.523966666667,start
131,739536.050821759,11-Oct-2024 01:13:11,42.1463666666667,-125.509733333333,stop
132,739536.055381944,11-Oct-2024 01:19:45,42.1478333333333,-125.511516666667,start
132,739536.229652778,11-Oct-2024 05:30:42,42.1208333333333,-125.497233333333,stop
133,739536.234212963,11-Oct-2024 05:37:16,42.1212666666667,-125.498583333333,start
133,739536.409849537,11-Oct-2024 09:50:11,42.1003666666667,-125.470433333333,stop
134,739536.41150463,11-Oct-2024 09:52:34,42.1003,-125.471083333333,start
134,739536.581608796,11-Oct-2024 13:57:31,42.08415,-125.447083333333,stop
135,739536.590439815,11-Oct-2024 14:10:14,42.0836333333333,-125.451166666667,start
135,739536.7615625,11-Oct-2024 18:16:39,42.0656833333333,-125.428533333333,stop
136,739536.763206018,11-Oct-2024 18:19:01,42.0656,-125.429466666667,start
136,739536.937974537,11-Oct-2024 22:30:41,42.0521,-125.39585,stop
137,739536.943969907,11-Oct-2024 22:39:19,42.0513833333333,-125.398416666667,start
137,739537.097743056,12-Oct-2024 02:20:45,42.04405,-125.369083333333,stop
138,739537.10224537,12-Oct-2024 02:27:14,42.0433166666667,-125.369216666667,start
138,739537.283402778,12-Oct-2024 06:48:06,42.0196833333333,-125.342466666667,stop
139,739537.287893519,12-Oct-2024 06:54:34,42.01885,-125.343516666667,start
139,739537.461331018,12-Oct-2024 11:04:19,42.0060333333333,-125.312483333333,stop
140,739537.466944444,12-Oct-2024 11:12:24,42.0060833333333,-125.313116666667,start
140,739537.641446759,12-Oct-2024 15:23:41,41.9949333333333,-125.2672,stop
141,739537.646018518,12-Oct-2024 15:30:16,41.9948,-125.268033333333,start
141,739537.821689815,12-Oct-2024 19:43:14,41.9787833333333,-125.225366666667,stop
142,739537.825833333,12-Oct-2024 19:49:12,41.9789666666667,-125.225116666667,start
142,739538.004224537,13-Oct-2024 00:06:05,41.9689833333333,-125.174066666667,stop
143,739538.008460648,13-Oct-2024 00:12:11,41.9691166666667,-125.173983333333,start
143,739538.182650463,13-Oct-2024 04:23:01,41.9601833333333,-125.120816666667,stop
144,739538.186956019,13-Oct-2024 04:29:13,41.9601833333333,-125.119683333333,start
144,739538.318402778,13-Oct-2024 07:38:30,41.94315,-125.091233333333,stop
145,739538.3221875,13-Oct-2024 07:43:57,41.9429166666667,-125.091966666667,start
145,739538.447986111,13-Oct-2024 10:45:06,41.9413666666667,-125.062733333333,stop
146,739538.451597222,13-Oct-2024 10:50:18,41.9423833333333,-125.062516666667,start
146,739538.577476852,13-Oct-2024 13:51:34,41.9442666666667,-125.0325,stop
147,739538.581238426,13-Oct-2024 13:56:59,41.9448833333333,-125.032533333333,start
147,739538.708310185,13-Oct-2024 16:59:58,41.93715,-125.013766666667,stop
148,739538.712048611,13-Oct-2024 17:05:21,41.9376166666667,-125.0138,start
148,739538.838935185,13-Oct-2024 20:08:04,41.9240666666667,-124.990833333333,stop
149,739538.842939815,13-Oct-2024 20:13:50,41.9243166666667,-124.991,start
149,739538.976111111,13-Oct-2024 23:25:36,41.9117833333333,-124.963416666667,stop
150,739538.979988426,13-Oct-2024 23:31:11,41.912,-124.963333333333,start
150,739539.103159722,14-Oct-2024 02:28:33,41.90695,-124.939616666667,stop
