dive,time_UTC,dateTime_UTC,latitude,longitude,label
151,739517.968460648,22-Sep-2024 23:14:35,42.9845166666667,-127.008716666667,start
151,739518.189849537,23-Sep-2024 04:33:23,42.94615,-127.0393,stop
152,739518.189849537,23-Sep-2024 04:33:23,42.94615,-127.0393,start
152,739518.415983796,23-Sep-2024 09:59:01,42.9213,-127.089533333333,stop
153,739518.415983796,23-Sep-2024 09:59:01,42.9213,-127.089533333333,start
153,739518.646527778,23-Sep-2024 15:31:00,42.90145,-127.143816666667,stop
154,739518.646527778,23-Sep-2024 15:31:00,42.90145,-127.143816666667,start
154,739518.646527778,23-Sep-2024 15:31:00,42.90145,-127.143816666667,stop
155,739518.646527778,23-Sep-2024 15:31:00,42.90145,-127.143816666667,start
155,739519.077337963,24-Sep-2024 01:51:22,42.8559,-127.217733333333,stop
156,739519.077337963,24-Sep-2024 01:51:22,42.8559,-127.217733333333,start
156,739519.307280093,24-Sep-2024 07:22:29,42.8713666666667,-127.172566666667,stop
157,739519.307280093,24-Sep-2024 07:22:29,42.8713666666667,-127.172566666667,start
157,739519.533715278,24-Sep-2024 12:48:33,42.8475333333333,-127.223033333333,stop
158,739519.533715278,24-Sep-2024 12:48:33,42.8475333333333,-127.223033333333,start
158,739519.758101852,24-Sep-2024 18:11:40,42.8198166666667,-127.2709,stop
159,739519.763645833,24-Sep-2024 18:19:39,42.8193333333333,-127.272583333333,start
159,739519.980277778,24-Sep-2024 23:31:36,42.7913166666667,-127.316083333333,stop
160,739519.980277778,24-Sep-2024 23:31:36,42.7913166666667,-127.316083333333,start
160,739520.20525463,25-Sep-2024 04:55:34,42.7592166666667,-127.36465,stop
161,739520.20525463,25-Sep-2024 04:55:34,42.7592166666667,-127.36465,start
161,739520.426793981,25-Sep-2024 10:14:35,42.72635,-127.407083333333,stop
162,739520.426793981,25-Sep-2024 10:14:35,42.72635,-127.407083333333,start
162,739520.426793981,25-Sep-2024 10:14:35,42.72635,-127.407083333333,stop
163,739520.426793981,25-Sep-2024 10:14:35,42.72635,-127.407083333333,start
163,739520.887418982,25-Sep-2024 21:17:53,42.6826833333333,-127.4997,stop
164,739520.887418982,25-Sep-2024 21:17:53,42.6826833333333,-127.4997,start
164,739521.104768518,26-Sep-2024 02:30:52,42.6565666666667,-127.529066666667,stop
165,739521.104768518,26-Sep-2024 02:30:52,42.6565666666667,-127.529066666667,start
165,739521.33443287,26-Sep-2024 08:01:35,42.6229833333333,-127.576816666667,stop
166,739521.33443287,26-Sep-2024 08:01:35,42.6229833333333,-127.576816666667,start
166,739521.555601852,26-Sep-2024 13:20:04,42.5945,-127.627,stop
167,739521.555601852,26-Sep-2024 13:20:04,42.5945,-127.627,start
167,739521.785752315,26-Sep-2024 18:51:29,42.5677666666667,-127.679183333333,stop
168,739521.785752315,26-Sep-2024 18:51:29,42.5677666666667,-127.679183333333,start
168,739522.007326389,27-Sep-2024 00:10:33,42.5353833333333,-127.730666666667,stop
169,739522.007326389,27-Sep-2024 00:10:33,42.5353833333333,-127.730666666667,start
169,739522.214884259,27-Sep-2024 05:09:26,42.5069833333333,-127.775816666667,stop
170,739522.214884259,27-Sep-2024 05:09:26,42.5069833333333,-127.775816666667,start
